Time Ia Ib Ic Ia Ib Ic
0.00017000000000000001 1.3988810110276972e-06 -1.9724666344700381e-05 1.8332002582610585e-05 1.3988810110276972e-06 -1.9724666344700381e-05 1.8332002582610585e-05
0.00018000000000000001 1.4948042803553108e-06 -1.9753088054130785e-05 1.8260948309034575e-05 1.4948042803553108e-06 -1.9753088054130785e-05 1.8260948309034575e-05
0.00019000000000000001 1.5756285165480222e-06 -1.9795720618276391e-05 1.8218315744888969e-05 1.5756285165480222e-06 -1.9795720618276391e-05 1.8218315744888969e-05
0.00020000000000000001 1.6573409311604337e-06 -1.9824142327706795e-05 1.8175683180743363e-05 1.6573409311604337e-06 -1.9824142327706795e-05 1.8175683180743363e-05
0.00021000000000000001 1.7355006320940447e-06 -1.9866774891852401e-05 1.8118839761882555e-05 1.7355006320940447e-06 -1.9866774891852401e-05 1.8118839761882555e-05
0.00022000000000000001 1.808331262509455e-06 -1.9909407455998007e-05 1.8076207197736949e-05 1.808331262509455e-06 -1.9909407455998007e-05 1.8076207197736949e-05
0.00023000000000000001 1.9042545318370685e-06 -1.9937829165428411e-05 1.8047785488306545e-05 1.9042545318370685e-06 -1.9937829165428411e-05 1.8047785488306545e-05
0.00024000000000000001 1.9912960169676808e-06 -1.9980461729574017e-05 1.7976731214730535e-05 1.9912960169676808e-06 -1.9980461729574017e-05 1.7976731214730535e-05
0.00025000000000000001 2.0694557179012918e-06 -2.0008883439004421e-05 1.7919887795869727e-05 2.0694557179012918e-06 -2.0008883439004421e-05 1.7919887795869727e-05
0.00026000000000000003 2.1582735598713043e-06 -2.0037305148434825e-05 1.7891466086439323e-05 2.1582735598713043e-06 -2.0037305148434825e-05 1.7891466086439323e-05
0.00027000000000000006 2.2364332608049153e-06 -2.0079937712580431e-05 1.7848833522293717e-05 2.2364332608049153e-06 -2.0079937712580431e-05 1.7848833522293717e-05
0.00028000000000000008 2.3110402480597259e-06 -2.0108359422010835e-05 1.7791990103432909e-05 2.3110402480597259e-06 -2.0108359422010835e-05 1.7791990103432909e-05
0.00029000000000000011 2.3945290195115376e-06 -2.0136781131441239e-05 1.7735146684572101e-05 2.3945290195115376e-06 -2.0136781131441239e-05 1.7735146684572101e-05
0.00030000000000000014 2.4886759319997509e-06 -2.0165202840871643e-05 1.7678303265711293e-05 2.4886759319997509e-06 -2.0165202840871643e-05 1.7678303265711293e-05
0.00031000000000000016 2.5668356329333619e-06 -2.0207835405017249e-05 1.7635670701565687e-05 2.5668356329333619e-06 -2.0207835405017249e-05 1.7635670701565687e-05
0.00032000000000000019 2.6521007612245739e-06 -2.0236257114447653e-05 1.7607248992135283e-05 2.6521007612245739e-06 -2.0236257114447653e-05 1.7607248992135283e-05
0.00033000000000000022 2.7320368189975852e-06 -2.0264678823878057e-05 1.7536194718559273e-05 2.7320368189975852e-06 -2.0264678823878057e-05 1.7536194718559273e-05
0.00034000000000000024 2.8066438062523957e-06 -2.0293100533308461e-05 1.7493562154413667e-05 2.8066438062523957e-06 -2.0293100533308461e-05 1.7493562154413667e-05
0.00035000000000000027 2.8848035071860068e-06 -2.0335733097454067e-05 1.7436718735552859e-05 2.8848035071860068e-06 -2.0335733097454067e-05 1.7436718735552859e-05
0.00036000000000000029 2.9736213491560193e-06 -2.0364154806884471e-05 1.7394086171407253e-05 2.9736213491560193e-06 -2.0364154806884471e-05 1.7394086171407253e-05
0.00037000000000000032 3.0624391911260318e-06 -2.0378365661599673e-05 1.7337242752546445e-05 3.0624391911260318e-06 -2.0378365661599673e-05 1.7337242752546445e-05
0.00038000000000000035 3.1423752488990431e-06 -2.0435209080460481e-05 1.7280399333685637e-05 3.1423752488990431e-06 -2.0435209080460481e-05 1.7280399333685637e-05
0.00039000000000000037 3.2152058793144533e-06 -2.0463630789890885e-05 1.7237766769540031e-05 3.2152058793144533e-06 -2.0463630789890885e-05 1.7237766769540031e-05
0.0004000000000000004 3.2986946507662651e-06 -2.0492052499321289e-05 1.7180923350679222e-05 3.2986946507662651e-06 -2.0492052499321289e-05 1.7180923350679222e-05
0.00041000000000000042 3.3733016380210756e-06 -2.0520474208751693e-05 1.7152501641248818e-05 3.3733016380210756e-06 -2.0520474208751693e-05 1.7152501641248818e-05
0.00042000000000000045 3.4727776210274897e-06 -2.0548895918182097e-05 1.7081447367672808e-05 3.4727776210274897e-06 -2.0548895918182097e-05 1.7081447367672808e-05
0.00043000000000000048 3.5420555377640994e-06 -2.0577317627612501e-05 1.7038814803527202e-05 3.5420555377640994e-06 -2.0577317627612501e-05 1.7038814803527202e-05
0.0004400000000000005 3.6290970228947117e-06 -2.0605739337042905e-05 1.6981971384666394e-05 3.6290970228947117e-06 -2.0605739337042905e-05 1.6981971384666394e-05
0.00045000000000000053 3.7072567238283227e-06 -2.0648371901188511e-05 1.6939338820520788e-05 3.7072567238283227e-06 -2.0648371901188511e-05 1.6939338820520788e-05
0.00046000000000000056 3.7889691384407342e-06 -2.0662582755903713e-05 1.6868284546944778e-05 3.7889691384407342e-06 -2.0662582755903713e-05 1.6868284546944778e-05
0.00047000000000000058 3.879563337250147e-06 -2.0691004465334117e-05 1.6825651982799172e-05 3.879563337250147e-06 -2.0691004465334117e-05 1.6825651982799172e-05
0.00048000000000000061 3.9612757518625585e-06 -2.0719426174764521e-05 1.6754597709223162e-05 3.9612757518625585e-06 -2.0719426174764521e-05 1.6754597709223162e-05
0.00049000000000000063 4.0323300254385686e-06 -2.0747847884194925e-05 1.6697754290362354e-05 4.0323300254385686e-06 -2.0747847884194925e-05 1.6697754290362354e-05
0.00050000000000000066 4.1140424400509801e-06 -2.0776269593625329e-05 1.6655121726216748e-05 4.1140424400509801e-06 -2.0776269593625329e-05 1.6655121726216748e-05
0.00051000000000000069 4.1993075683421921e-06 -2.0804691303055733e-05 1.6612489162071142e-05 4.1993075683421921e-06 -2.0804691303055733e-05 1.6612489162071142e-05
0.00052000000000000071 4.2916781239910051e-06 -2.0833113012486137e-05 1.6541434888495132e-05 4.2916781239910051e-06 -2.0833113012486137e-05 1.6541434888495132e-05
0.00053000000000000074 4.3698378249246161e-06 -2.0847323867201339e-05 1.6498802324349526e-05 4.3698378249246161e-06 -2.0847323867201339e-05 1.6498802324349526e-05
0.00054000000000000077 4.4444448121794267e-06 -2.0889956431346945e-05 1.6441958905488718e-05 4.4444448121794267e-06 -2.0889956431346945e-05 1.6441958905488718e-05
0.00055000000000000079 4.5297099404706387e-06 -2.0918378140777349e-05 1.638511548662791e-05 4.5297099404706387e-06 -2.0918378140777349e-05 1.638511548662791e-05
0.00056000000000000082 4.6114223550830502e-06 -2.0932588995492551e-05 1.6342482922482304e-05 4.6114223550830502e-06 -2.0932588995492551e-05 1.6342482922482304e-05
0.00057000000000000084 4.6860293423378607e-06 -2.0961010704922955e-05 1.6271428648906294e-05 4.6860293423378607e-06 -2.0961010704922955e-05 1.6271428648906294e-05
0.00058000000000000087 4.7748471843078732e-06 -2.0989432414353359e-05 1.6200374375330284e-05 4.7748471843078732e-06 -2.0989432414353359e-05 1.6200374375330284e-05
0.0005900000000000009 4.8565595989202848e-06 -2.1017854123783763e-05 1.6186163520615082e-05 4.8565595989202848e-06 -2.1017854123783763e-05 1.6186163520615082e-05
0.00060000000000000092 4.9276138724962948e-06 -2.1032064978498966e-05 1.610089839232387e-05 4.9276138724962948e-06 -2.1032064978498966e-05 1.610089839232387e-05
0.00061000000000000095 5.0128790007875068e-06 -2.106048668792937e-05 1.6058265828178264e-05 5.0128790007875068e-06 -2.106048668792937e-05 1.6058265828178264e-05
0.00062000000000000098 5.1016968427575193e-06 -2.1088908397359774e-05 1.6001422409317456e-05 5.1016968427575193e-06 -2.1088908397359774e-05 1.6001422409317456e-05
0.000630000000000001 5.1763038300123299e-06 -2.1103119252074976e-05 1.5930368135741446e-05 5.1763038300123299e-06 -2.1103119252074976e-05 1.5930368135741446e-05
0.00064000000000000103 5.2615689583035419e-06 -2.113154096150538e-05 1.588773557159584e-05 5.2615689583035419e-06 -2.113154096150538e-05 1.588773557159584e-05
