Time Van Vbn Vcn VR
1.0000000000000001e-05 0.41468924799573292 -95.469462092672813 95.054772844677046 1.1518763542994748e-07
2.0000000000000002e-05 0.82937260233933463 -95.674772936705509 94.845400334366147 1.1493391793848673e-07
3.0000000000000004e-05 1.2440441694624367 -95.878724030438164 94.63467986097568 1.1467856619873373e-07
4.0000000000000003e-05 1.6586980559641924 -96.081312475274302 94.422614419310023 1.144215850956698e-07
5.0000000000000002e-05 2.0733283686950359 -96.282535391983629 94.209207023288542 1.1416297729383018e-07
6.0000000000000002e-05 2.4879292148404368 -96.482389920743159 93.99446070590264 1.1390274767819619e-07
7.0000000000000007e-05 2.9024947020046508 -96.680873221177649 93.77837851917289 1.1364089846921388e-07
8.0000000000000007e-05 3.3170189382944613 -96.877982472400049 93.56096353410544 1.1337743366368613e-07
9.0000000000000006e-05 3.7314960324029203 -97.073714873051557 93.342218840648485 1.1311235903477268e-07
0.0001 4.1459200936930722 -97.268067641341531 93.122147547648296 1.1284567502656273e-07
0.00011 4.5602852322816769 -97.461038015086984 92.900752782805085 1.1257738830039443e-07
0.00012 4.9745855591229153 -97.652623251751677 92.678037692628578 1.1230750240898146e-07
0.00013000000000000002 5.3888151860920868 -97.842820628485399 92.454005442393097 1.1203601912868066e-07
0.00014000000000000001 5.8029682260692939 -98.031627442162389 92.228659216092822 1.1176294334447334e-07
0.00015000000000000001 6.2170387930231072 -98.219041009419854 92.002002216396519 1.1148828038543002e-07
0.00016000000000000001 6.6310210020942231 -98.405058666696249 91.774037664601764 1.1121203158381832e-07
0.00017000000000000001 7.0449089696791001 -98.589677770268864 91.544768800589466 1.1093420315688718e-07
0.00018000000000000001 7.4586968135135736 -98.772895696291556 91.314198882777731 1.1065479732508265e-07
0.00019000000000000001 7.8723786527564616 -98.954709840832152 91.082331188075372 1.1037382074974289e-07
0.00020000000000000001 8.285948608073145 -99.135117619909096 90.849169011835599 1.1009127298677868e-07
0.00021000000000000001 8.6994008017191149 -99.314116469528528 90.614715667809094 1.0980716202979579e-07
0.00022000000000000001 9.1127293576235218 -99.49170384572065 90.378974488096759 1.0952149054332949e-07
0.00023000000000000001 9.525928401472683 -99.66787722457569 90.141948823102624 1.0923426296827188e-07
0.00024000000000000001 9.9389920607935665 -99.842634102279987 89.903642041486037 1.0894548063689058e-07
0.00025000000000000001 10.351914465037256 -100.01597199515152 89.664057530113837 1.0865515243096979e-07
0.00026000000000000003 10.764689745662377 -100.18788843967509 89.423198694012285 1.0836327879459873e-07
0.00027000000000000006 11.177312036218517 -100.35838099253755 89.181068956318569 1.0806986594502632e-07
0.00028000000000000008 11.589775472429585 -100.52744723066226 88.937671758232199 1.0777491610269863e-07
0.00029000000000000011 12.002074192277158 -100.69508475124377 88.693010558966137 1.0747843504077537e-07
0.00030000000000000014 12.414202336083804 -100.86129117178189 88.447088835697599 1.0718042631197022e-07
0.00031000000000000016 12.826154046596354 -101.02606413011547 88.199910083518631 1.068808948012645e-07
0.00032000000000000019 13.237923469069138 -101.18940128445603 87.951477815386383 1.065798445054611e-07
0.00033000000000000022 13.649504751347216 -101.35130031342105 87.701795562073286 1.0627727853318447e-07
0.00034000000000000024 14.060892043949528 -101.51175891606698 87.450866872116876 1.0597320132532673e-07
0.00035000000000000027 14.472079500152031 -101.67077481192192 87.198695311769285 1.0566761954322601e-07
0.00036000000000000029 14.883061276070819 -101.82834574101796 86.945284464946553 1.0536053629550679e-07
0.00037000000000000032 15.293831530745136 -101.98446946392343 86.690637933177698 1.0505195424670433e-07
0.00038000000000000035 15.70438442622042 -102.13914376177469 86.43475933555365 1.0474188005815677e-07
0.00039000000000000037 16.114714127631277 -102.29236643630753 86.177652308675604 1.0443031683848858e-07
0.0004000000000000004 16.524814803284372 -102.44413530988862 85.919320506603611 1.0411726947268107e-07
0.00041000000000000042 16.934680624741343 -102.59444822554632 85.659767600804329 1.0380274284571556e-07
0.00042000000000000045 17.344305766901641 -102.74330304700139 85.398997280099081 1.034867400662165e-07
0.00043000000000000048 17.75368440808527 -102.89069765869732 85.137013250611361 1.0316926823961126e-07
0.0004400000000000005 18.162810730115588 -103.03662996583041 84.873819235714095 1.0285032825407825e-07
0.00045000000000000053 18.571678918401958 -103.18109789437958 84.609418975976894 1.0252992765913405e-07
0.00046000000000000056 18.980283162022381 -103.32409939113573 84.343816229112605 1.0220806956340311e-07
0.00047000000000000058 19.388617653806122 -103.46563242373111 84.077014769924233 1.0188475929595597e-07
0.00048000000000000061 19.796676590416194 -103.60569498066803 83.80901839025104 1.0155999952132788e-07
0.00049000000000000063 20.204454172431863 -103.74428507134751 83.539830898914857 1.0123379778903541e-07
0.00050000000000000066 20.611944604431073 -103.88140072609761 83.269456121665712 1.009061563195246e-07
0.00051000000000000069 21.019142095072812 -104.01703999620136 82.9978979011277 1.005770817741336e-07
0.00052000000000000071 21.426040857179398 -104.1512009539245 82.725160096744276 1.0024657681739768e-07
0.00053000000000000074 21.832635107818746 -104.28388169254283 82.451246584723251 9.991464811065498e-08
0.00054000000000000077 22.238919068386561 -104.41508032636941 82.176161257981988 9.9581298762529968e-08
0.00055000000000000079 22.644886964688446 -104.54479499078121 81.899908026091893 9.9246534102093165e-08
0.00056000000000000082 23.050533027021984 -104.67302384224574 81.622490815222875 9.8910359458415087e-08
0.00057000000000000084 23.455851490258738 -104.79976505834716 81.343913568087515 9.8572778828298624e-08
0.00058000000000000087 23.860836593926162 -104.92501683781231 81.064180243885204 9.8233796652635874e-08
