Time Vab Vac Vba Vbc Vca Vcb VR
1.0000000000000001e-05 95.884151340649368 94.640083596662393 -95.884151340649368 -190.52423493731175 -94.640083596662393 190.52423493731175 1.1518763542994748e-07
2.0000000000000002e-05 96.504145539025544 94.016027732008013 -96.504145539025544 -190.52017327103357 -94.016027732008013 190.52017327103357 1.1493391793848673e-07
3.0000000000000004e-05 97.122768199881193 93.390635691494552 -97.122768199881193 -190.51340389137573 -93.390635691494552 190.51340389137573 1.1467856619873373e-07
4.0000000000000003e-05 97.740010531218957 92.76391636332724 -97.740010531218957 -190.5039268945462 -92.76391636332724 190.5039268945462 1.144215850956698e-07
5.0000000000000002e-05 98.355863760658991 92.135878654575066 -98.355863760658991 -190.49174241523406 -92.135878654575066 190.49174241523406 1.1416297729383018e-07
6.0000000000000002e-05 98.970319135563813 91.506531491043887 -98.970319135563813 -190.4768506266077 -91.506531491043887 190.4768506266077 1.1390274767819619e-07
7.0000000000000007e-05 99.583367923162399 90.875883817150054 -99.583367923162399 -190.45925174031245 -90.875883817150054 190.45925174031245 1.1364089846921388e-07
8.0000000000000007e-05 100.19500141067446 90.243944595792911 -100.19500141067446 -190.43894600646738 -90.243944595792911 190.43894600646738 1.1337743366368613e-07
9.0000000000000006e-05 100.80521090543432 89.610722808227635 -100.80521090543432 -190.41593371366196 -89.610722808227635 190.41593371366196 1.1311235903477268e-07
0.0001 101.41398773501433 88.97622745393744 -101.41398773501433 -190.39021518895174 -88.97622745393744 190.39021518895174 1.1284567502656273e-07
0.00011 102.02132324734826 88.340467550505736 -102.02132324734826 -190.36179079785398 -88.340467550505736 190.36179079785398 1.1257738830039443e-07
0.00012 102.62720881085407 87.703452133488113 -102.62720881085407 -190.33066094434218 -87.703452133488113 190.33066094434218 1.1230750240898146e-07
0.00013000000000000002 103.23163581455684 87.065190256283586 -103.23163581455684 -190.29682607084044 -87.065190256283586 190.29682607084044 1.1203601912868066e-07
0.00014000000000000001 103.83459566821091 86.425690990006245 -103.83459566821091 -190.26028665821715 -86.425690990006245 190.26028665821715 1.1176294334447334e-07
0.00015000000000000001 104.43607980242207 85.784963423356231 -104.43607980242207 -190.22104322577832 -85.784963423356231 190.22104322577832 1.1148828038543002e-07
0.00016000000000000001 105.03607966876946 85.14301666249051 -105.03607966876946 -190.17909633125998 -85.14301666249051 190.17909633125998 1.1121203158381832e-07
0.00017000000000000001 105.63458673992685 84.499859830893428 -105.63458673992685 -190.13444657082027 -84.499859830893428 190.13444657082027 1.1093420315688718e-07
0.00018000000000000001 106.23159250978388 83.855502069247393 -106.23159250978388 -190.08709457903126 -83.855502069247393 190.08709457903126 1.1065479732508265e-07
0.00019000000000000001 106.82708849356723 83.209952535302278 -106.82708849356723 -190.03704102886951 -83.209952535302278 190.03704102886951 1.1037382074974289e-07
0.00020000000000000001 107.42106622796076 82.56322040374593 -107.42106622796076 -189.98428663170671 -82.56322040374593 189.98428663170671 1.1009127298677868e-07
0.00021000000000000001 108.01351727122605 81.915314866073587 -108.01351727122605 -189.92883213729965 -81.915314866073587 189.92883213729965 1.0980716202979579e-07
0.00022000000000000001 108.60443320332246 81.266245130456966 -108.60443320332246 -189.87067833377944 -81.266245130456966 189.87067833377944 1.0952149054332949e-07
0.00023000000000000001 109.19380562602653 80.616020421613797 -109.19380562602653 -189.80982604764034 -80.616020421613797 189.80982604764034 1.0923426296827188e-07
0.00024000000000000001 109.78162616305158 79.964649980676484 -109.78162616305158 -189.74627614372807 -79.964649980676484 189.74627614372807 1.0894548063689058e-07
0.00025000000000000001 110.36788646016669 79.312143065060738 -110.36788646016669 -189.68002952522744 -79.312143065060738 189.68002952522744 1.0865515243096979e-07
0.00026000000000000003 110.95257818531528 78.658508948334173 -110.95257818531528 -189.61108713364945 -78.658508948334173 189.61108713364945 1.0836327879459873e-07
0.00027000000000000006 111.53569302873375 78.003756920084442 -111.53569302873375 -189.53944994881817 -78.003756920084442 189.53944994881817 1.0806986594502632e-07
0.00028000000000000008 112.11722270306942 77.34789628578713 -112.11722270306942 -189.46511898885655 -77.34789628578713 189.46511898885655 1.0777491610269863e-07
0.00029000000000000011 112.69715894349841 76.69093636667364 -112.69715894349841 -189.38809531017205 -76.69093636667364 189.38809531017205 1.0747843504077537e-07
0.00030000000000000014 113.27549350784304 76.032886499598604 -113.27549350784304 -189.30838000744166 -76.032886499598604 189.30838000744166 1.0718042631197022e-07
0.00031000000000000016 113.85221817668905 75.37375603690721 -113.85221817668905 -189.22597421359626 -75.37375603690721 189.22597421359626 1.068808948012645e-07
0.00032000000000000019 114.42732475350228 74.713554346302288 -114.42732475350228 -189.14087909980458 -74.713554346302288 189.14087909980458 1.065798445054611e-07
0.00033000000000000022 115.00080506474526 74.05229081071127 -115.00080506474526 -189.05309587545653 -74.05229081071127 189.05309587545653 1.0627727853318447e-07
0.00034000000000000024 115.57265095999341 73.38997482815266 -115.57265095999341 -188.96262578814606 -73.38997482815266 188.96262578814606 1.0597320132532673e-07
0.00035000000000000027 116.14285431205072 72.726615811602713 -116.14285431205072 -188.86947012365343 -72.726615811602713 188.86947012365343 1.0566761954322601e-07
0.00036000000000000029 116.71140701706543 72.06222318886131 -116.71140701706543 -188.77363020592674 -72.06222318886131 188.77363020592674 1.0536053629550679e-07
0.00037000000000000032 117.27830099464512 71.396806402418292 -117.27830099464512 -188.67510739706341 -71.396806402418292 188.67510739706341 1.0505195424670433e-07
0.00038000000000000035 117.84352818797153 70.730374909319096 -117.84352818797153 -188.57390309729061 -70.730374909319096 188.57390309729061 1.0474188005815677e-07
